ensemble,form,starting_class,item_id,dimensions,perturbation_trials,family_flips,family_flip_rate,posture_flips,posture_flip_rate,routing_flips,routing_flip_rate,full_archetype_flips,full_archetype_flip_rate,mean_dimension_l1,max_dimension_l1,omission_trials,omission_full_archetype_flip_rate,neutralisation_trials,neutralisation_full_archetype_flip_rate
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,blend,df1,domesticFilters,149,64,0.42953,0,0,45,0.302013,57,0.38255,0.416107,2.37,40,0.4,40,0.475
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,blend,in2,institutions,151,74,0.490066,0,0,106,0.701987,119,0.788079,0.221325,0.98,40,0.8,40,0.825
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,blend,ni2,normsIdentity,150,75,0.5,0,0,41,0.273333,56,0.373333,0.356733,1.22,40,0.5,40,0.425
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,blend,oj1,orderJustice,152,63,0.414474,0,0,30,0.197368,44,0.289474,0.350329,1.22,40,0.375,40,0.425
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,blend,oj2,orderJustice,147,63,0.428571,0,0,35,0.238095,49,0.333333,0.371633,1.03,40,0.45,40,0.5
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,blend,pe2,politicalEconomy,146,72,0.493151,0,0,82,0.561644,103,0.705479,0.302192,1.2,40,0.75,40,0.675
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,blend,rs2,restraint,150,57,0.38,28,0.186667,20,0.133333,45,0.3,0.210733,0.76,40,0.4,40,0.475
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,blend,sc2,securityCompetition,153,65,0.424837,0,0,60,0.392157,76,0.496732,0.323922,1.06,40,0.625,40,0.525
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,blend,v21_df_rev_04,domesticFilters,147,54,0.367347,0,0,46,0.312925,64,0.435374,0.443946,2,40,0.525,40,0.55
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,blend,v21_in_rev_03,institutions,151,66,0.437086,0,0,95,0.629139,105,0.695364,0.210993,1.57,40,0.675,40,0.55
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,blend,v21_ni_rev_05,normsIdentity,152,76,0.5,0,0,36,0.236842,58,0.381579,0.319276,1.41,40,0.475,40,0.4
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,blend,v21_pe_rev_02,politicalEconomy,151,65,0.430464,0,0,82,0.543046,96,0.635762,0.278675,1,40,0.6,40,0.6
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,blend,v21_rs_rev_04,restraint,149,60,0.402685,17,0.114094,20,0.134228,38,0.255034,0.204027,0.61,40,0.4,40,0.3
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,blend,v21_sc_rev_02,securityCompetition,146,67,0.458904,0,0,58,0.39726,84,0.575342,0.384521,1.47,40,0.8,40,0.6
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,pure,an_case_rising_power_voice,domesticFilters|institutions|normsIdentity|politicalEconomy|securityCompetition,72,31,0.430556,0,0,21,0.291667,38,0.527778,0.963611,1.75,0,0,0,0
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,pure,an_case_sanctions_alignment,domesticFilters|institutions|normsIdentity|orderJustice|politicalEconomy|restraint,72,29,0.402778,1,0.013889,20,0.277778,36,0.5,0.984167,1.98,0,0,0,0
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,pure,an_tradeoff_ceasefire_settlement,domesticFilters|institutions|orderJustice|politicalEconomy|restraint,72,18,0.25,1,0.013889,20,0.277778,28,0.388889,0.68875,1.23,0,0,0,0
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,pure,an_tradeoff_energy_alignment,domesticFilters|institutions|normsIdentity|orderJustice|politicalEconomy|restraint,72,14,0.194444,3,0.041667,22,0.305556,29,0.402778,0.864167,1.62,0,0,0,0
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,pure,an_tradeoff_tech_order,institutions|normsIdentity|orderJustice|politicalEconomy|restraint|securityCompetition,72,29,0.402778,3,0.041667,22,0.305556,37,0.513889,1.007917,2.02,0,0,0,0
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,pure,df1,domesticFilters,93,8,0.086022,0,0,24,0.258065,26,0.27957,0.386774,2,24,0.333333,24,0.291667
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,pure,in2,institutions,90,16,0.177778,0,0,22,0.244444,30,0.333333,0.229778,0.68,24,0.333333,24,0.333333
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,pure,ni2,normsIdentity,93,17,0.182796,0,0,16,0.172043,28,0.301075,0.303441,0.91,24,0.375,24,0.291667
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,pure,oj1,orderJustice,86,4,0.046512,0,0,22,0.255814,22,0.255814,0.338605,0.89,24,0.291667,24,0.25
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,pure,oj2,orderJustice,89,4,0.044944,0,0,16,0.179775,16,0.179775,0.318539,0.81,24,0.166667,24,0.166667
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,pure,pe2,politicalEconomy,90,13,0.144444,0,0,23,0.255556,29,0.322222,0.273444,0.77,24,0.333333,24,0.333333
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,pure,rs2,restraint,89,3,0.033708,11,0.123596,23,0.258427,30,0.337079,0.228427,0.63,24,0.458333,24,0.375
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,pure,sc2,securityCompetition,92,11,0.119565,0,0,19,0.206522,26,0.282609,0.388913,1.63,24,0.208333,24,0.333333
boundaryFocused,targeted:institutionalist|criticalPoliticalEconomy,pure,v21_df_rev_04,domesticFilters,90,7,0.077778,0,0,15,0.166667,17,0.188889,0.434444,2,24,0.208333,24,0.125
